Time (sec),X,Y
1.904167,0.309600,0.664800
1.908333,0.309600,0.663000
1.912500,0.310200,0.661200
1.916667,0.309000,0.659400
1.920833,0.309000,0.657600
1.925000,0.309600,0.655800
1.929167,0.309000,0.654000
1.933333,0.309000,0.652200
1.937500,0.309000,0.650400
1.941667,0.307800,0.648000
1.945833,0.307800,0.646200
1.950000,0.307200,0.644400
1.954167,0.306600,0.642600
1.958333,0.305400,0.640200
1.962500,0.305400,0.637800
1.966667,0.305400,0.634800
1.970833,0.305400,0.633000
1.975000,0.304800,0.630000
1.979167,0.305400,0.627000
1.983333,0.305400,0.624600
1.987500,0.306000,0.621600
1.991667,0.306000,0.618600
1.995833,0.306000,0.617400
2.000000,0.306600,0.614400
2.004167,0.307200,0.612000
2.008333,0.307200,0.609600
2.012500,0.307200,0.608400
2.016667,0.306600,0.605400
2.020833,0.306000,0.603000
2.025000,0.305400,0.600600
2.029167,0.304200,0.597600
2.033333,0.303600,0.594000
2.037500,0.302400,0.591000
2.041667,0.302400,0.587400
2.045833,0.301200,0.583200
2.050000,0.300600,0.579600
2.054167,0.301200,0.574800
2.058333,0.301800,0.572400
2.062500,0.302400,0.568200
2.066667,0.303000,0.565800
2.070833,0.303600,0.562800
2.075000,0.304200,0.560400
2.079167,0.304200,0.558600
2.083333,0.304200,0.556200
2.087500,0.304200,0.553200
2.091667,0.304200,0.550200
2.095833,0.302400,0.546000
2.100000,0.302400,0.542400
2.104167,0.301800,0.538200
2.108333,0.301200,0.534000
2.112500,0.301200,0.529200
2.116667,0.301200,0.525000
2.120833,0.301800,0.520800
2.125000,0.301800,0.517200
2.129167,0.301800,0.513000
2.133333,0.301800,0.509400
2.137500,0.301800,0.505800
2.141667,0.300600,0.501000
2.145833,0.301200,0.497400
2.150000,0.300600,0.493800
2.154167,0.300600,0.489600
2.158333,0.300600,0.485400
2.162500,0.301800,0.482400
2.166667,0.301800,0.479400
2.170833,0.303000,0.477000
2.175000,0.303600,0.474600
2.179167,0.303600,0.471600
2.183333,0.303000,0.468600
2.187500,0.302400,0.465600
2.191667,0.301200,0.461400
2.195833,0.300000,0.456000
2.200000,0.300000,0.450000
2.204167,0.299400,0.445200
2.208333,0.300600,0.440400
2.212500,0.301800,0.435000
2.216667,0.302400,0.430800
2.220833,0.303600,0.427800
2.225000,0.303600,0.424200
2.229167,0.303600,0.420000
2.233333,0.303000,0.415800
2.237500,0.302400,0.411600
2.241667,0.301800,0.406800
2.245833,0.301800,0.402000
2.250000,0.302400,0.397800
2.254167,0.301800,0.393600
2.258333,0.303600,0.389400
2.262500,0.303600,0.385800
2.266667,0.303600,0.381600
2.270833,0.303000,0.377400
2.275000,0.303000,0.373200
2.279167,0.302400,0.369000
2.283333,0.303000,0.364200
2.287500,0.303600,0.360000
2.291667,0.305400,0.356400
2.295833,0.305400,0.352800
2.300000,0.305400,0.349800
2.304167,0.304800,0.346200
2.308333,0.304800,0.340800
2.312500,0.303600,0.336000
2.316667,0.303600,0.330000
2.320833,0.303000,0.324000
2.325000,0.304200,0.319200
2.329167,0.306000,0.314400
2.333333,0.306600,0.310200
2.337500,0.307200,0.306600
2.341667,0.306600,0.303600
2.345833,0.306600,0.299400
2.350000,0.306000,0.294600
2.354167,0.306000,0.289200
2.358333,0.305400,0.284400
2.362500,0.306600,0.279600
2.366667,0.306600,0.275400
2.370833,0.307200,0.271200
2.375000,0.307800,0.267000
2.379167,0.307800,0.262800
2.383333,0.307800,0.258600
2.387500,0.308400,0.254400
2.391667,0.309600,0.250200
2.395833,0.309600,0.247200
2.400000,0.310200,0.244200
2.404167,0.309600,0.241200
2.408333,0.309000,0.237000
2.412500,0.308400,0.231600
2.416667,0.307800,0.226800
2.420833,0.309000,0.222000
2.425000,0.310200,0.217200
2.429167,0.312000,0.214200
2.433333,0.312600,0.211200
2.437500,0.312000,0.204000
2.441667,0.312000,0.199800
2.445833,0.310800,0.195000
2.450000,0.311400,0.190800
2.454167,0.312000,0.185400
2.458333,0.312000,0.181200
2.462500,0.312600,0.178200
2.466667,0.313200,0.174600
2.470833,0.313200,0.171000
2.475000,0.313800,0.166800
2.479167,0.314400,0.163200
2.483333,0.315600,0.160200
2.487500,0.315600,0.157800
2.491667,0.315000,0.154200
2.495833,0.314400,0.150000
2.500000,0.313800,0.145200
2.504167,0.314400,0.140400
2.508333,0.316200,0.136200
2.512500,0.317400,0.133800
2.516667,0.318000,0.131400
2.520833,0.318000,0.129000
2.525000,0.317400,0.126600
2.529167,0.317400,0.121800
2.533333,0.316800,0.118200
2.537500,0.317400,0.114000
2.541667,0.317400,0.111000
2.545833,0.319200,0.108600
2.550000,0.318600,0.106800
2.554167,0.319200,0.104400
2.558333,0.319800,0.102000
2.562500,0.320400,0.099600
2.566667,0.321000,0.098400
2.570833,0.321600,0.097200
2.575000,0.321000,0.096000
2.579167,0.320400,0.093600
2.583333,0.320400,0.091200
2.587500,0.321000,0.089400
2.591667,0.322800,0.088200
2.595833,0.323400,0.087600
2.600000,0.324000,0.087600
2.604167,0.324000,0.087000
2.608333,0.324000,0.085200
2.612500,0.322800,0.084000
2.616667,0.322800,0.081600
2.620833,0.323400,0.079200
2.625000,0.325200,0.078000
2.629167,0.325200,0.078600
2.633333,0.326400,0.079200
2.637500,0.327000,0.081600
2.641667,0.327600,0.084000
2.645833,0.328200,0.088800
2.650000,0.328200,0.092400
2.654167,0.329400,0.097800
2.658333,0.330000,0.103200
2.662500,0.330000,0.108000
2.666667,0.330000,0.112200
2.670833,0.330000,0.116400
2.675000,0.330600,0.120000
2.679167,0.331200,0.123600
2.683333,0.332400,0.128400
2.687500,0.334200,0.133200
2.691667,0.335400,0.139200
2.695833,0.335400,0.144000
2.700000,0.334800,0.148200
2.704167,0.334200,0.151200
2.708333,0.334200,0.154200
2.712500,0.334800,0.156600
2.716667,0.335400,0.159600
2.720833,0.336600,0.162600
2.725000,0.337800,0.166200
2.729167,0.337800,0.169200
2.733333,0.338400,0.172800
2.737500,0.339000,0.175200
2.741667,0.339000,0.178200
2.745833,0.339000,0.180000
2.750000,0.340200,0.183000
2.754167,0.340800,0.186000
2.758333,0.340800,0.189000
2.762500,0.340800,0.190800
2.766667,0.340800,0.193200
2.770833,0.340800,0.195000
2.775000,0.341400,0.196800
2.779167,0.342000,0.198600
2.783333,0.342600,0.201000
2.787500,0.344400,0.204600
2.791667,0.345600,0.208800
2.795833,0.346200,0.213000
2.800000,0.346200,0.217200
2.804167,0.346200,0.220800
2.808333,0.345600,0.224400
2.812500,0.345000,0.227400
2.816667,0.345000,0.230400
2.820833,0.345600,0.232200
2.825000,0.346800,0.236400
2.829167,0.347400,0.238800
2.833333,0.348600,0.243000
2.837500,0.349200,0.247200
2.841667,0.349800,0.250800
2.845833,0.350400,0.255600
2.850000,0.350400,0.259200
2.854167,0.350400,0.263400
2.858333,0.351000,0.266400
2.862500,0.351000,0.270000
2.866667,0.351600,0.273600
2.870833,0.351600,0.277200
2.875000,0.352200,0.280200
2.879167,0.352800,0.284400
2.883333,0.352200,0.286800
2.887500,0.352200,0.290400
2.891667,0.352200,0.292800
2.895833,0.352200,0.295800
2.900000,0.352800,0.297600
2.904167,0.353400,0.301200
2.908333,0.354000,0.303600
2.912500,0.355200,0.306600
2.916667,0.355200,0.310200
2.920833,0.355800,0.313200
2.925000,0.355800,0.316800
2.929167,0.355800,0.319800
2.933333,0.356400,0.323400
2.937500,0.356400,0.326400
2.941667,0.356400,0.329400
2.945833,0.356400,0.332400
2.950000,0.356400,0.334800
2.954167,0.356400,0.337200
2.958333,0.357000,0.339600
2.962500,0.357000,0.341400
2.966667,0.357000,0.343800
2.970833,0.357600,0.346200
2.975000,0.357600,0.348600
2.979167,0.358800,0.351600
2.983333,0.358800,0.354600
2.987500,0.359400,0.357600
2.991667,0.360000,0.360000
2.995833,0.360000,0.362400
3.000000,0.360600,0.366000
3.004167,0.360600,0.369600
3.008333,0.361200,0.372000
3.012500,0.361200,0.375000
3.016667,0.361200,0.377400
3.020833,0.361200,0.380400
3.025000,0.361200,0.382800
3.029167,0.361200,0.385200
3.033333,0.361200,0.387000
3.037500,0.361200,0.389400
3.041667,0.361200,0.391200
3.045833,0.361200,0.392400
3.050000,0.360600,0.394200
3.054167,0.360600,0.395400
3.058333,0.360600,0.396600
3.062500,0.361200,0.398400
3.066667,0.361200,0.400200
3.070833,0.361200,0.402600
3.075000,0.361800,0.405000
3.079167,0.362400,0.407400
3.083333,0.362400,0.409200
3.087500,0.362400,0.411600
3.091667,0.362400,0.414000
3.095833,0.363000,0.416400
3.100000,0.363600,0.418200
3.104167,0.363000,0.420000
3.108333,0.363600,0.423000
3.112500,0.364200,0.425400
3.116667,0.363600,0.427200
3.120833,0.363000,0.428400
3.125000,0.363600,0.430200
3.129167,0.363600,0.432000
3.133333,0.363600,0.433800
3.137500,0.363600,0.435600
3.141667,0.363600,0.436200
3.145833,0.363000,0.438000
3.150000,0.362400,0.438600
3.154167,0.363000,0.439200
3.158333,0.363000,0.440400
3.162500,0.362400,0.441600
3.166667,0.361800,0.442800
3.170833,0.361800,0.443400
3.175000,0.361800,0.444000
3.179167,0.361800,0.445800
3.183333,0.361800,0.447000
3.187500,0.361800,0.447600
3.191667,0.361800,0.448800
3.195833,0.361200,0.449400
3.200000,0.361200,0.451200
3.204167,0.361200,0.452400
3.208333,0.361200,0.453600
3.212500,0.360600,0.454200
3.216667,0.360600,0.455400
3.220833,0.360600,0.456000
3.225000,0.360000,0.457200
3.229167,0.360000,0.458400
3.233333,0.360000,0.459600
3.237500,0.359400,0.460200
3.241667,0.359400,0.460200
3.245833,0.359400,0.461400
3.250000,0.358800,0.462000
3.254167,0.358800,0.462600
3.258333,0.358800,0.463200
3.262500,0.358200,0.463200
3.266667,0.358200,0.463800
3.270833,0.357600,0.465000
3.275000,0.357000,0.465000
3.279167,0.357000,0.465600
3.283333,0.357000,0.465600
3.287500,0.356400,0.466200
3.291667,0.355800,0.466200
3.295833,0.355800,0.466200
3.300000,0.355200,0.466800
3.304167,0.354600,0.466800
3.308333,0.354600,0.466800
3.312500,0.354000,0.466800
3.316667,0.353400,0.466800
3.320833,0.352800,0.466800
3.325000,0.352800,0.466800
3.329167,0.352200,0.466800
3.333333,0.351600,0.466800
3.337500,0.351600,0.466800
3.341667,0.351000,0.466800
3.345833,0.351000,0.466200
3.350000,0.350400,0.466200
3.354167,0.349800,0.466200
3.358333,0.349800,0.465600
3.362500,0.349200,0.465600
3.366667,0.348600,0.465600
3.370833,0.348000,0.465000
3.375000,0.348000,0.465000
3.379167,0.347400,0.464400
3.383333,0.347400,0.463800
3.387500,0.346200,0.463200
3.391667,0.346200,0.463200
3.395833,0.346200,0.461400
3.400000,0.345000,0.460800
3.404167,0.345000,0.460200
3.408333,0.345000,0.459600
3.412500,0.345000,0.459000
3.416667,0.344400,0.458400
3.420833,0.344400,0.457800
3.425000,0.343800,0.456600
3.429167,0.343200,0.455400
3.433333,0.343800,0.454800
3.437500,0.343200,0.453000
3.441667,0.342600,0.451800
3.445833,0.343200,0.450000
3.450000,0.342600,0.449400
