Time (sec),X,Y
2.079167,0.270857,0.522857
2.083333,0.273714,0.514857
2.087500,0.277143,0.508571
2.091667,0.281143,0.502857
2.095833,0.286286,0.498857
2.100000,0.290857,0.497143
2.104167,0.295429,0.495429
2.108333,0.299429,0.496571
2.112500,0.301714,0.497143
2.116667,0.302857,0.498286
2.120833,0.302286,0.501143
2.125000,0.299429,0.502286
2.129167,0.295429,0.502857
2.133333,0.289714,0.500571
2.137500,0.282857,0.497143
2.141667,0.276571,0.491429
2.145833,0.271429,0.482286
2.150000,0.268000,0.472000
2.154167,0.266286,0.461714
2.158333,0.268000,0.452000
2.162500,0.272000,0.442857
2.166667,0.278857,0.437143
2.170833,0.286286,0.433143
2.175000,0.293143,0.432571
2.179167,0.298857,0.433714
2.183333,0.302857,0.437714
2.187500,0.302857,0.441714
2.191667,0.301143,0.444000
2.195833,0.296571,0.445714
2.200000,0.289714,0.444000
2.204167,0.282857,0.440000
2.208333,0.276571,0.432571
2.212500,0.272000,0.422857
2.216667,0.269143,0.411429
2.220833,0.269714,0.399429
2.225000,0.273714,0.389143
2.229167,0.277714,0.381143
2.233333,0.284571,0.375429
2.237500,0.290857,0.371429
2.241667,0.297143,0.371429
2.245833,0.302286,0.374286
2.250000,0.304000,0.378286
2.254167,0.302857,0.382286
2.258333,0.297714,0.384000
2.262500,0.290286,0.382286
2.266667,0.282286,0.378286
2.270833,0.274857,0.368571
2.275000,0.270286,0.358286
2.279167,0.269143,0.345143
2.283333,0.272571,0.333143
2.287500,0.278857,0.323429
2.291667,0.287429,0.318857
2.295833,0.296000,0.317714
2.300000,0.303429,0.321714
2.304167,0.305714,0.325714
2.308333,0.305714,0.330857
2.312500,0.299429,0.332571
2.316667,0.292000,0.330857
2.320833,0.282857,0.323429
2.325000,0.276000,0.312571
2.329167,0.272571,0.299429
2.333333,0.273143,0.287429
2.337500,0.278286,0.275429
2.341667,0.284000,0.268000
2.345833,0.292571,0.264000
2.350000,0.300571,0.264000
2.354167,0.305714,0.268571
2.358333,0.306857,0.273143
2.362500,0.304000,0.277714
2.366667,0.296571,0.278286
2.370833,0.286857,0.272571
2.375000,0.278857,0.262857
2.379167,0.273143,0.250857
2.383333,0.274857,0.235429
2.387500,0.278286,0.224571
2.391667,0.288000,0.218286
2.395833,0.298286,0.217714
2.400000,0.306857,0.221714
2.404167,0.310286,0.228571
2.408333,0.307429,0.234857
2.412500,0.299429,0.236000
2.416667,0.290857,0.232000
2.420833,0.281714,0.222857
2.425000,0.276571,0.208000
2.429167,0.277714,0.194286
2.433333,0.285143,0.181714
2.437500,0.302286,0.176571
2.441667,0.309714,0.181143
2.445833,0.312000,0.186857
2.450000,0.308571,0.191429
2.454167,0.301143,0.193143
2.458333,0.290857,0.187429
2.462500,0.282857,0.176571
2.466667,0.278286,0.163429
2.470833,0.280571,0.148000
2.475000,0.287429,0.139429
2.479167,0.298857,0.136000
2.483333,0.310286,0.140571
2.487500,0.314857,0.148571
2.491667,0.313143,0.156000
2.495833,0.305143,0.158286
2.500000,0.293714,0.152571
2.504167,0.286286,0.141143
2.508333,0.282286,0.127429
2.512500,0.284571,0.113143
2.516667,0.292571,0.104571
2.520833,0.302857,0.102857
2.525000,0.312571,0.105714
2.529167,0.316571,0.113714
2.533333,0.315429,0.121143
2.537500,0.308000,0.123429
2.541667,0.297714,0.120571
2.545833,0.289714,0.110286
2.550000,0.284571,0.096571
2.554167,0.286286,0.085143
2.558333,0.295429,0.076571
2.562500,0.304571,0.076000
2.566667,0.314857,0.081143
2.570833,0.320571,0.091429
2.575000,0.318857,0.101714
2.579167,0.309143,0.104571
2.583333,0.298286,0.101143
2.587500,0.289714,0.089143
2.591667,0.288000,0.077714
2.595833,0.292000,0.067429
2.600000,0.301143,0.062286
2.604167,0.313714,0.064571
2.608333,0.320571,0.072571
2.612500,0.323429,0.081143
2.616667,0.319429,0.088571
2.620833,0.310857,0.090857
2.625000,0.301714,0.085714
2.629167,0.294286,0.077143
2.633333,0.292000,0.068571
2.637500,0.295429,0.061143
2.641667,0.303429,0.060000
2.645833,0.314857,0.066857
2.650000,0.322286,0.077143
2.654167,0.326286,0.088571
2.658333,0.328000,0.104000
2.662500,0.324000,0.115429
2.666667,0.316000,0.123429
2.670833,0.306857,0.124000
2.675000,0.300571,0.121714
2.679167,0.296571,0.115429
2.683333,0.297714,0.110857
2.687500,0.305714,0.108571
2.691667,0.314857,0.112000
2.695833,0.322857,0.118857
2.700000,0.330857,0.132000
2.704167,0.332571,0.141143
2.708333,0.332571,0.151429
2.712500,0.328000,0.161714
2.716667,0.320000,0.167429
2.720833,0.313143,0.167429
2.725000,0.306857,0.163429
2.729167,0.304000,0.157714
2.733333,0.305143,0.150857
2.737500,0.310286,0.148000
2.741667,0.318857,0.149714
2.745833,0.326857,0.154286
2.750000,0.334286,0.164571
2.754167,0.338857,0.173714
2.758333,0.337143,0.186857
2.762500,0.333714,0.195429
2.766667,0.325714,0.200000
2.770833,0.317714,0.199429
2.775000,0.310857,0.196000
2.779167,0.307429,0.188000
2.783333,0.308000,0.182286
2.787500,0.312571,0.177714
2.791667,0.319429,0.178286
2.795833,0.328571,0.182857
2.800000,0.334857,0.190286
2.804167,0.340571,0.200571
2.808333,0.343429,0.210286
2.812500,0.342286,0.221143
2.816667,0.338857,0.230857
2.820833,0.333143,0.236571
2.825000,0.327429,0.239429
2.829167,0.321714,0.238857
2.833333,0.317143,0.236571
2.837500,0.314857,0.233143
2.841667,0.315429,0.230286
2.845833,0.317714,0.227429
2.850000,0.324000,0.226857
2.854167,0.329714,0.229143
2.858333,0.334857,0.234857
2.862500,0.341714,0.241714
2.866667,0.346286,0.251429
2.870833,0.348571,0.260571
2.875000,0.349143,0.272571
2.879167,0.345143,0.281143
2.883333,0.340000,0.287429
2.887500,0.333714,0.291429
2.891667,0.327429,0.292571
2.895833,0.322286,0.290286
2.900000,0.318857,0.286857
2.904167,0.318286,0.282857
2.908333,0.319429,0.278857
2.912500,0.322857,0.277143
2.916667,0.328000,0.276571
2.920833,0.333143,0.278286
2.925000,0.337714,0.282286
2.929167,0.343429,0.288000
2.933333,0.348571,0.295429
2.937500,0.352000,0.302857
2.941667,0.353143,0.311429
2.945833,0.353143,0.320000
2.950000,0.351429,0.327429
2.954167,0.348571,0.333143
2.958333,0.342857,0.337714
2.962500,0.338857,0.340000
2.966667,0.334286,0.341714
2.970833,0.329714,0.340571
2.975000,0.326286,0.338286
2.979167,0.324571,0.336571
2.983333,0.324000,0.333714
2.987500,0.324571,0.332000
2.991667,0.325714,0.329714
2.995833,0.328571,0.328571
3.000000,0.333143,0.329143
3.004167,0.337143,0.331429
3.008333,0.341714,0.333714
3.012500,0.346286,0.337714
3.016667,0.349714,0.343429
3.020833,0.353143,0.349714
3.025000,0.356000,0.356000
3.029167,0.357143,0.361714
3.033333,0.357714,0.368571
3.037500,0.357143,0.375429
3.041667,0.355429,0.380571
3.045833,0.352000,0.385143
3.050000,0.349143,0.388571
3.054167,0.345714,0.390857
3.058333,0.341714,0.393143
3.062500,0.338857,0.394286
3.066667,0.334857,0.393714
3.070833,0.332571,0.393143
3.075000,0.329714,0.392571
3.079167,0.328571,0.391429
3.083333,0.327429,0.389714
3.087500,0.327429,0.389143
3.091667,0.326857,0.388000
3.095833,0.327429,0.386857
3.100000,0.329143,0.386286
3.104167,0.330857,0.385714
3.108333,0.333143,0.385714
3.112500,0.335429,0.385714
3.116667,0.338286,0.386857
3.120833,0.341714,0.388000
3.125000,0.343429,0.389143
3.129167,0.346286,0.391429
3.133333,0.348571,0.394286
3.137500,0.351429,0.396571
3.141667,0.353714,0.399429
3.145833,0.355429,0.402286
3.150000,0.357143,0.405714
3.154167,0.358286,0.409714
3.158333,0.359429,0.413714
3.162500,0.359429,0.416571
3.166667,0.359429,0.420571
3.170833,0.359429,0.424000
3.175000,0.359429,0.426286
3.179167,0.358286,0.429714
3.183333,0.357143,0.432571
3.187500,0.355429,0.434857
3.191667,0.354286,0.437714
3.195833,0.352571,0.440000
3.200000,0.351429,0.442286
3.204167,0.350286,0.443429
3.208333,0.348000,0.445143
3.212500,0.346286,0.446857
3.216667,0.344571,0.448571
3.220833,0.343429,0.449714
3.225000,0.341714,0.450286
3.229167,0.340000,0.450857
3.233333,0.338857,0.451429
3.237500,0.337143,0.451429
3.241667,0.335429,0.452000
3.245833,0.334286,0.452571
3.250000,0.333143,0.452571
3.254167,0.331429,0.453143
3.258333,0.330286,0.452571
3.262500,0.329714,0.452571
3.266667,0.328571,0.452571
3.270833,0.328000,0.452571
3.275000,0.326857,0.452000
3.279167,0.326857,0.452571
3.283333,0.325143,0.452571
3.287500,0.325143,0.452571
3.291667,0.324571,0.452571
3.295833,0.323429,0.452571
3.300000,0.322857,0.452000
3.304167,0.322857,0.452000
3.308333,0.322286,0.452000
3.312500,0.321143,0.452000
3.316667,0.321143,0.452000
3.320833,0.320571,0.452000
3.325000,0.320000,0.452000
3.329167,0.319429,0.452000
3.333333,0.319429,0.452000
3.337500,0.319429,0.452571
3.341667,0.318857,0.452571
3.345833,0.318857,0.453143
3.350000,0.318857,0.452571
3.354167,0.318286,0.452571
3.358333,0.318286,0.453143
3.362500,0.318286,0.453143
3.366667,0.318286,0.453143
3.370833,0.318857,0.453143
3.375000,0.318857,0.453714
3.379167,0.318857,0.454286
3.383333,0.318857,0.454286
3.387500,0.318857,0.454857
3.391667,0.319429,0.456000
3.395833,0.320571,0.457143
3.400000,0.321714,0.455429
3.404167,0.323429,0.454857
3.408333,0.324571,0.453714
3.412500,0.326286,0.452571
3.416667,0.327429,0.452000
3.420833,0.328571,0.450857
3.425000,0.329714,0.449143
3.429167,0.331429,0.447429
3.433333,0.333143,0.445714
3.437500,0.334286,0.444000
3.441667,0.336000,0.442286
3.445833,0.337714,0.440000
3.450000,0.338857,0.437143
3.454167,0.340000,0.434286
3.458333,0.341143,0.431429
3.462500,0.342286,0.428000
3.466667,0.342286,0.424000
3.470833,0.342286,0.420571
3.475000,0.342286,0.416571
3.479167,0.341714,0.412000
3.483333,0.340571,0.408571
3.487500,0.338857,0.404571
3.491667,0.336571,0.400571
3.495833,0.334286,0.397714
3.500000,0.332000,0.394286
3.504167,0.329143,0.392000
3.508333,0.325714,0.389143
3.512500,0.322857,0.387429
3.516667,0.319429,0.385143
3.520833,0.315429,0.384000
3.525000,0.311429,0.383429
3.529167,0.308571,0.384000
3.533333,0.305714,0.384000
3.537500,0.302857,0.384571
3.541667,0.300571,0.386286
3.545833,0.298857,0.386857
3.550000,0.298286,0.388000
3.554167,0.297714,0.390286
3.558333,0.298286,0.392000
3.562500,0.298857,0.393143
3.566667,0.300571,0.394857
3.570833,0.302286,0.394286
3.575000,0.305143,0.394286
3.579167,0.308000,0.393143
3.583333,0.310857,0.391429
3.587500,0.313714,0.389714
3.591667,0.317143,0.386857
3.595833,0.320000,0.383429
3.600000,0.322857,0.378857
3.604167,0.324571,0.374286
3.608333,0.326286,0.368571
3.612500,0.326857,0.361714
3.616667,0.326857,0.355429
3.620833,0.326286,0.349143
3.625000,0.324000,0.343429
3.629167,0.320571,0.337714
3.633333,0.317143,0.332571
3.637500,0.312000,0.329143
3.641667,0.306857,0.326857
3.645833,0.301714,0.326286
3.650000,0.296571,0.326286
3.654167,0.292571,0.327429
3.658333,0.288571,0.329714
3.662500,0.286857,0.333143
3.666667,0.286286,0.336000
3.670833,0.287429,0.340000
3.675000,0.289714,0.341714
3.679167,0.293714,0.342286
3.683333,0.297714,0.342286
3.687500,0.302857,0.339429
3.691667,0.308000,0.336000
3.695833,0.312571,0.330857
3.700000,0.315429,0.323429
3.704167,0.318286,0.316000
3.708333,0.319429,0.306857
3.712500,0.318286,0.297714
3.716667,0.316000,0.289714
3.720833,0.311429,0.282286
3.725000,0.306286,0.277143
3.729167,0.301143,0.272000
3.733333,0.294857,0.269714
3.737500,0.288571,0.270286
3.741667,0.284000,0.272000
3.745833,0.280571,0.275429
3.750000,0.279429,0.278857
3.754167,0.280000,0.282857
3.758333,0.282857,0.285714
3.762500,0.287429,0.287429
3.766667,0.292571,0.286857
3.770833,0.297714,0.284000
3.775000,0.303429,0.279429
3.779167,0.308000,0.272571
3.783333,0.311429,0.264000
3.787500,0.311429,0.255429
3.791667,0.310857,0.245714
3.795833,0.306857,0.237143
3.800000,0.301143,0.229714
3.804167,0.296000,0.225143
3.808333,0.288000,0.222857
3.812500,0.280571,0.222286
3.816667,0.276000,0.224000
3.820833,0.273714,0.228571
3.825000,0.273143,0.233143
3.829167,0.276000,0.237714
3.833333,0.280571,0.240571
3.837500,0.287429,0.239429
3.841667,0.295429,0.235429
3.845833,0.301714,0.229143
3.850000,0.306286,0.220000
3.854167,0.307429,0.209143
3.858333,0.306286,0.198286
3.862500,0.301714,0.190857
3.866667,0.295429,0.182857
3.870833,0.287429,0.178857
