Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.353477,0.320316,0.842844,0.901659,1.207613,0.004159,-0.001011,-0.009284,-0.204563,-2.199483,2.210153,-17.731288,-9.546437,20.137851,-0.000773,-0.207463,0.007139,1.526815
0.357636,0.320008,0.839801,0.898706,1.206730,0.004159,-0.001087,-0.009149,-0.241265,-2.224378,2.238167,-22.495986,-12.932508,25.948394,-0.000883,-0.201511,0.005952,0.475417
0.361794,0.319625,0.836658,0.895632,1.205880,0.004159,-0.001104,-0.009242,-0.273204,-2.258500,2.274835,-24.326202,-18.097672,30.319793,-0.000850,-0.199213,0.002297,-0.621128
0.365953,0.319170,0.833408,0.892434,1.205057,0.004159,-0.001146,-0.009436,-0.295272,-2.303210,2.321021,-21.812637,-24.943091,33.135312,-0.000823,-0.206710,-0.007497,-2.007046
0.370112,0.318740,0.830104,0.889195,1.204180,0.004159,-0.001268,-0.009697,-0.299645,-2.358365,2.376063,-14.038477,-32.219650,35.145194,-0.000877,-0.223729,-0.017019,-3.660590
0.374270,0.318386,0.826564,0.885764,1.203120,0.004159,-0.001239,-0.010093,-0.283260,-2.432144,2.448087,-2.418135,-41.755862,41.825822,-0.001059,-0.251112,-0.027383,-5.227489
0.378429,0.318011,0.822957,0.882264,1.202047,0.004159,-0.001159,-0.010451,-0.252355,-2.517475,2.530588,10.320104,-51.523834,52.547217,-0.001073,-0.279282,-0.028170,-6.138428
0.382587,0.317796,0.819227,0.878708,1.200746,0.004159,-0.000944,-0.010877,-0.212833,-2.602529,2.612661,20.875375,-58.713483,62.314159,-0.001302,-0.306282,-0.027000,-6.834996
0.386746,0.317674,0.815414,0.875109,1.199300,0.004159,-0.000712,-0.011151,-0.163843,-2.667442,2.674548,28.715995,-56.581639,63.451480,-0.001446,-0.336449,-0.030168,-6.705304
0.390904,0.317615,0.811600,0.871535,1.197774,0.004159,-0.000396,-0.011357,-0.107873,-2.705738,2.709895,34.743440,-45.271446,57.066719,-0.001525,-0.361878,-0.025429,-5.873991
