Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.212086,0.342066,0.929055,0.990026,1.218012,0.004159,-0.002090,0.000678,-0.488369,0.141853,0.477464,-91.357458,23.036189,94.217042,0.000831,0.213804,0.041082,10.144091
0.216245,0.341042,0.929211,0.989819,1.219037,0.004159,-0.002588,0.000527,-0.630378,0.135646,0.619532,-97.035560,10.451320,97.596772,0.001025,0.258066,0.044262,10.130303
0.220403,0.339853,0.929303,0.989497,1.220197,0.004159,-0.003043,0.000375,-0.767739,0.105456,0.770460,-99.433245,-4.577245,99.538543,0.001160,0.292686,0.034619,10.157987
0.224562,0.338324,0.929303,0.988973,1.221650,0.004159,-0.003742,0.000249,-0.913044,0.041592,0.917297,-102.120630,-24.109780,104.928093,0.001453,0.330007,0.037321,10.199209
0.228721,0.336596,0.929013,0.988110,1.223192,0.004159,-0.004446,-0.000198,-1.064173,-0.050464,1.068177,-104.313823,-44.753396,113.508767,0.001542,0.370625,0.040618,9.881492
0.232879,0.334708,0.928629,0.987108,1.224858,0.004159,-0.005146,-0.000674,-1.230887,-0.161696,1.241521,-111.372256,-64.241623,128.572025,0.001666,0.414314,0.043689,9.490501
0.237038,0.332537,0.928043,0.985822,1.226728,0.004159,-0.005786,-0.001260,-1.407408,-0.285755,1.431883,-118.878870,-78.716353,142.577874,0.001870,0.457693,0.043379,8.897038
0.241196,0.330182,0.927179,0.984216,1.228685,0.004159,-0.006414,-0.001833,-1.580273,-0.433122,1.630004,-124.105383,-92.016949,154.496812,0.001957,0.488162,0.030469,7.728497
0.245355,0.327476,0.925966,0.982168,1.230866,0.004159,-0.007232,-0.002663,-1.743202,-0.613973,1.836828,-123.195387,-108.758148,164.333314,0.002180,0.512564,0.024402,6.074082
0.249513,0.324661,0.924621,0.979964,1.233117,0.004159,-0.007876,-0.003422,-1.883376,-0.828443,2.045622,-114.454995,-130.499212,173.579924,0.002251,0.524588,0.012024,3.156326
0.253672,0.321707,0.922851,0.977318,1.235369,0.004159,-0.008475,-0.004328,-2.002006,-1.074321,2.263232,-101.413424,-154.188076,184.549845,0.002252,0.525751,0.001163,-0.487694
0.257830,0.318740,0.920559,0.974179,1.237470,0.004159,-0.008736,-0.005407,-2.090532,-1.360799,2.490317,-83.521949,-179.587869,198.059887,0.002101,0.509377,-0.016373,-4.732039
0.261989,0.315849,0.917744,0.970574,1.239335,0.004159,-0.008812,-0.006878,-2.139841,-1.683617,2.723436,-61.671822,-205.642041,214.690621,0.001866,0.472879,-0.036499,-9.341527
0.266148,0.312882,0.914389,0.966438,1.241109,0.004159,-0.008825,-0.008462,-2.136454,-2.041018,2.959339,-32.330418,-232.459656,234.697140,0.001773,0.412210,-0.060668,-14.202999
0.270306,0.310143,0.910554,0.961924,1.242512,0.004159,-0.008597,-0.010005,-2.066048,-2.413010,3.184219,5.887708,-253.023178,253.091671,0.001404,0.325526,-0.086684,-19.868043
0.274465,0.307652,0.906117,0.956921,1.243481,0.004159,-0.008197,-0.011627,-1.935718,-2.800515,3.411527,49.085249,-268.578315,273.026872,0.000969,0.223700,-0.101826,-25.468990
0.278623,0.305490,0.901161,0.951533,1.243958,0.004159,-0.007392,-0.013229,-1.740176,-3.175371,3.625301,95.292253,-272.775543,288.941361,0.000477,0.100149,-0.123551,-30.860856
0.282782,0.303872,0.895931,0.946060,1.243803,0.004159,-0.006271,-0.014623,-1.480861,-3.518917,3.821034,140.718773,-265.935237,300.870941,-0.000155,-0.043871,-0.144020,-35.564865
0.286940,0.302844,0.890250,0.940351,1.242898,0.004159,-0.004808,-0.015867,-1.144990,-3.803552,3.981479,190.144844,-241.198343,307.134665,-0.000905,-0.208291,-0.164420,-39.026040
0.291099,0.302384,0.884447,0.934710,1.241364,0.004159,-0.003106,-0.016714,-0.735870,-4.019496,4.105118,241.503379,-202.985330,315.478884,-0.001534,-0.389244,-0.180953,-40.987206
0.295258,0.302490,0.878433,0.929056,1.239162,0.004159,-0.001382,-0.017498,-0.275685,-4.151251,4.187121,289.806441,-152.056232,327.274916,-0.002201,-0.563521,-0.174277,-41.522178
0.299416,0.303535,0.872702,0.923982,1.236073,0.004159,0.000691,-0.017548,0.216114,-4.184573,4.222099,327.302023,-91.623299,339.884455,-0.003089,-0.733242,-0.169720,-40.286210
0.303575,0.305284,0.867148,0.919317,1.232292,0.004159,0.002899,-0.017299,0.710550,-4.113465,4.209023,347.817830,-22.596528,348.551067,-0.003782,-0.886501,-0.153259,-36.428356
0.307733,0.307665,0.861973,0.915235,1.227960,0.004159,0.005175,-0.016461,1.187800,-3.939942,4.150179,351.921332,50.813219,355.570819,-0.004332,-1.010997,-0.124496,-30.201779
0.311892,0.310531,0.857337,0.911842,1.223291,0.004159,0.006996,-0.015365,1.626761,-3.666957,4.047145,339.215471,124.470063,361.330780,-0.004669,-1.107291,-0.096294,-21.976671
0.316050,0.313666,0.853325,0.909148,1.218546,0.004159,0.008382,-0.013823,2.006053,-3.310995,3.903409,311.527056,192.968558,366.450503,-0.004745,-1.167801,-0.060510,-12.191463
0.320209,0.317193,0.849954,0.907211,1.213614,0.004159,0.009528,-0.012019,2.300900,-2.881764,3.710424,267.664911,254.458041,369.314769,-0.004932,-1.174487,-0.006686,-1.515194
0.324367,0.320784,0.847349,0.906037,1.208896,0.004159,0.010253,-0.009988,2.476330,-2.407192,3.463065,204.294088,302.933218,365.382825,-0.004718,-1.124784,0.049702,10.429935
0.328526,0.324286,0.845444,0.905504,1.204535,0.004159,0.010620,-0.007881,2.521904,-1.894154,3.138030,124.045739,340.704865,362.583991,-0.004362,-1.029874,0.094910,22.615330
0.332685,0.327619,0.844226,0.905568,1.200616,0.004159,0.010426,-0.005727,2.438047,-1.367000,2.720552,32.979684,364.252289,365.742244,-0.003919,-0.890671,0.139203,34.719728
0.336843,0.330329,0.843674,0.906037,1.197607,0.004159,0.009545,-0.003675,2.227106,-0.842893,2.243517,-59.930219,376.164033,380.908140,-0.003009,-0.705522,0.185148,46.059774
0.341002,0.332259,0.843830,0.906888,1.195688,0.004159,0.007973,-0.001614,1.879691,-0.354325,1.782344,-154.431764,370.279734,401.193533,-0.001919,-0.480317,0.225205,55.168003
0.345160,0.333431,0.844437,0.907882,1.194733,0.004159,0.005811,0.000211,1.390145,0.071844,1.405909,-251.987078,345.996134,428.031321,-0.000956,-0.218060,0.262257,61.127356
0.349319,0.333751,0.845436,0.908929,1.194808,0.004159,0.003422,0.001762,0.777618,0.401487,1.166870,-348.555711,299.233590,459.382003,0.000076,0.055129,0.273189,63.802675
0.353477,0.332959,0.846519,0.909646,1.196056,0.004159,0.000700,0.002689,0.066650,0.602004,1.101828,-435.978373,229.966539,492.911504,0.001247,0.329685,0.274556,62.652472
0.357636,0.330911,0.847379,0.909699,1.198497,0.004159,-0.002520,0.002942,-0.693372,0.632320,1.231692,-501.019225,134.776533,518.830394,0.002441,0.575172,0.245487,56.788833
0.361794,0.327822,0.847758,0.908934,1.201814,0.004159,-0.005929,0.002322,-1.449921,0.462538,1.560142,-535.651898,14.680927,535.853045,0.003318,0.767974,0.192802,45.594011
0.365953,0.323814,0.847383,0.907146,1.205786,0.004159,-0.009145,0.000864,-2.146715,0.075515,2.066304,-532.243674,-126.603611,547.093961,0.003972,0.900239,0.132265,29.941397
0.370112,0.319195,0.845832,0.904056,1.209946,0.004159,-0.011716,-0.001547,-2.734092,-0.518983,2.702552,-490.728091,-276.851780,563.436747,0.004160,0.958317,0.058078,10.354857
0.374270,0.314231,0.842958,0.899622,1.213981,0.004159,-0.013591,-0.004800,-3.158547,-1.286808,3.390731,-410.869983,-420.661812,588.022536,0.004035,0.921926,-0.036391,-11.283387
0.378429,0.309443,0.838562,0.893836,1.217282,0.004159,-0.014371,-0.008820,-3.363564,-2.177854,4.058937,-292.613114,-541.863387,615.823323,0.003301,0.783302,-0.138624,-33.740119
0.382587,0.305006,0.832814,0.886909,1.219732,0.004159,-0.014189,-0.013018,-3.304447,-3.119712,4.637877,-137.152066,-625.392153,640.254664,0.002450,0.546114,-0.237188,-54.597531
0.386746,0.301318,0.825924,0.879172,1.220975,0.004159,-0.012912,-0.017034,-2.982380,-4.032458,5.119472,42.362526,-660.241249,661.598889,0.001243,0.239085,-0.307028,-72.497943
0.390904,0.298790,0.818073,0.870930,1.220613,0.004159,-0.010654,-0.020490,-2.411090,-4.828508,5.503769,229.039502,-637.397624,677.299657,-0.000362,-0.130454,-0.369540,-85.412220
0.395063,0.297719,0.809758,0.862754,1.218472,0.004159,-0.007286,-0.023056,-1.639871,-5.430207,5.780173,400.277221,-555.600236,684.772573,-0.002141,-0.522399,-0.391945,-91.459612
0.399221,0.298115,0.801241,0.854904,1.214599,0.004159,-0.003203,-0.024683,-0.716552,-5.776305,5.938150,544.859217,-419.339421,687.544265,-0.003873,-0.911990,-0.389591,-89.355281
0.403380,0.300029,0.793217,0.848063,1.209186,0.004159,0.001239,-0.024856,0.276535,-5.828342,5.966652,646.287978,-240.428084,689.560595,-0.005414,-1.257798,-0.345808,-78.741828
0.407539,0.303080,0.785922,0.842337,1.202734,0.004159,0.005361,-0.023836,1.263670,-5.580642,5.866487,698.208870,-36.174895,699.145370,-0.006452,-1.534193,-0.276395,-60.425146
0.411697,0.307383,0.779757,0.838156,1.195297,0.004159,0.009267,-0.021484,2.146772,-5.049101,5.637396,688.538033,174.869182,710.396969,-0.007437,-1.697158,-0.162965,-36.033834
0.415856,0.312199,0.774965,0.835488,1.187830,0.004159,0.012171,-0.018252,2.842057,-4.282695,5.283123,616.926124,371.678810,720.238141,-0.007467,-1.733950,-0.036792,-6.690208
0.420014,0.317353,0.771703,0.834410,1.180640,0.004159,0.014274,-0.014219,3.270608,-3.349950,4.770139,482.604588,536.410228,721.556042,-0.007190,-1.634786,0.099165,23.728366
0.424173,0.322179,0.769967,0.834655,1.174502,0.004159,0.014796,-0.009790,3.386574,-2.337034,4.068875,298.132733,652.165461,717.079434,-0.006138,-1.403755,0.231031,52.934928
0.428331,0.326246,0.769571,0.835868,1.169831,0.004159,0.014046,-0.005394,3.169503,-1.345478,3.294302,78.740210,706.306811,710.682300,-0.004671,-1.067710,0.336045,77.414499
0.432490,0.329006,0.770182,0.837511,1.167081,0.004159,0.011652,-0.001521,2.632129,-0.470064,2.569805,-153.533697,692.520543,709.335815,-0.002750,-0.655276,0.412434,94.531775
0.436648,0.330354,0.771290,0.839061,1.166122,0.004159,0.008176,0.001323,1.811290,0.189015,2.005857,-378.805407,607.434218,715.870006,-0.000959,-0.201141,0.454135,101.801173
0.440807,0.329903,0.772576,0.840065,1.167218,0.004159,0.003658,0.003005,0.791940,0.554332,1.680807,-571.727954,456.843523,731.832535,0.001096,0.225144,0.426285,98.475695
0.444966,0.327712,0.773393,0.839960,1.170000,0.004159,-0.001294,0.003211,-0.335524,0.567385,1.651737,-713.625973,249.473512,755.975570,0.002782,0.600402,0.375258,83.622812
0.449124,0.324122,0.773157,0.838348,1.173833,0.004159,-0.006233,0.001867,-1.440609,0.211140,1.938163,-781.977915,5.320238,781.996013,0.003834,0.866174,0.265773,58.179166
0.453283,0.319351,0.771484,0.834969,1.178328,0.004159,-0.010552,-0.001091,-2.409446,-0.488787,2.511879,-769.831003,-250.836802,809.665903,0.004494,0.991048,0.124874,24.617631
0.457441,0.313990,0.767932,0.829644,1.182660,0.004159,-0.013722,-0.005462,-3.115396,-1.471960,3.317054,-668.470407,-490.397493,829.061147,0.004332,0.950610,-0.040439,-14.196527
0.461600,0.308765,0.762449,0.822596,1.186017,0.004159,-0.015357,-0.010708,-3.468630,-2.646650,4.256351,-487.674322,-687.207121,842.662371,0.003358,0.736003,-0.214607,-53.746881
0.465758,0.304003,0.755238,0.814127,1.188115,0.004159,-0.015348,-0.016246,-3.401824,-3.892794,5.205910,-238.635358,-818.554980,852.630688,0.002097,0.348616,-0.387387,-88.658733
0.469917,0.300678,0.746515,0.804793,1.187900,0.004159,-0.013313,-0.021417,-2.903300,-5.062764,6.010953,51.002375,-863.473675,864.978630,-0.000215,-0.162675,-0.511291,-115.101755
0.474075,0.299156,0.736814,0.795229,1.185117,0.004159,-0.009608,-0.025635,-2.017441,-6.006210,6.578604,348.964698,-807.866788,880.014266,-0.002783,-0.738205,-0.575529,-127.353261
0.478234,0.299700,0.726721,0.786094,1.179646,0.004159,-0.004303,-0.028518,-0.843304,-6.588973,6.932281,615.242461,-648.344841,893.797694,-0.005471,-1.313154,-0.574950,-123.050824
0.482393,0.302418,0.717007,0.778175,1.171657,0.004159,0.001740,-0.029508,0.475075,-6.722032,7.060933,812.391206,-399.000841,905.086263,-0.007988,-1.797941,-0.484787,-101.662767
0.486551,0.306991,0.708625,0.772264,1.161984,0.004159,0.007834,-0.028189,1.767913,-6.368847,6.946988,910.256669,-87.202832,914.424156,-0.009674,-2.119279,-0.321338,-64.869727
0.490710,0.312693,0.702101,0.768585,1.151802,0.004159,0.012993,-0.024620,2.849930,-5.565661,6.541833,888.104914,246.073808,921.565330,-0.010182,-2.226553,-0.107275,-17.301245
0.494868,0.318778,0.697735,0.767107,1.142240,0.004159,0.016360,-0.019272,3.550042,-4.402650,5.786138,739.431345,557.737193,926.190850,-0.009562,-2.074244,0.152309,34.074977
0.499027,0.324501,0.695712,0.767669,1.134364,0.004159,0.017510,-0.012912,3.756398,-3.039881,4.807388,478.167080,800.510136,932.448515,-0.007876,-1.698615,0.375630,81.624054
0.503185,0.328825,0.695603,0.769408,1.129211,0.004159,0.016132,-0.006498,3.422822,-1.675390,3.793709,137.762138,935.486050,945.575252,-0.005153,-1.151373,0.547242,117.745768
0.507344,0.331138,0.696829,0.771507,1.127179,0.004159,0.012360,-0.000906,2.591374,-0.531087,2.925563,-230.528896,930.987194,959.104128,-0.002032,-0.507554,0.643819,135.754189
0.511502,0.331050,0.698422,0.772908,1.128167,0.004159,0.006549,0.002710,1.375709,0.201948,2.351378,-572.479468,779.556372,967.181926,0.000988,0.123699,0.631253,132.037100
0.515661,0.328627,0.699598,0.772938,1.131651,0.004159,-0.000198,0.003995,-0.042499,0.397696,2.163765,-833.298960,498.510772,971.030456,0.003484,0.640997,0.517298,106.142892
0.519820,0.324366,0.698995,0.770589,1.136323,0.004159,-0.006772,0.002166,-1.437172,0.002211,2.404936,-968.736689,128.241263,977.188105,0.004672,0.950468,0.309471,61.257191
0.523978,0.318854,0.696159,0.765706,1.141294,0.004159,-0.012196,-0.002263,-2.586102,-0.941624,3.055538,-952.689064,-274.992593,991.583268,0.004971,0.994994,0.044526,5.223486
0.528137,0.312937,0.690862,0.758432,1.145479,0.004159,-0.015690,-0.008736,-3.295985,-2.296669,4.032699,-782.359636,-647.908588,1015.811075,0.004184,0.755024,-0.239970,-53.938142
0.532295,0.307758,0.682989,0.749126,1.147440,0.004159,-0.016608,-0.016006,-3.443239,-3.849594,5.188474,-482.394982,-926.236129,1044.326714,0.001962,0.260278,-0.494746,-106.022131
0.536454,0.304213,0.673069,0.738626,1.146297,0.004159,-0.014640,-0.023090,-2.991862,-5.343488,6.325473,-97.572355,-1058.507618,1062.995175,-0.001143,-0.413505,-0.673784,-140.909074
0.540612,0.303000,0.661830,0.727893,1.141457,0.004159,-0.009937,-0.029032,-2.012112,-6.529438,7.210318,308.730607,-1017.845795,1063.637462,-0.004840,-1.152685,-0.739180,-152.200925
0.544771,0.304251,0.650531,0.718164,1.133324,0.004159,-0.003506,-0.032458,-0.662807,-7.192734,7.674803,668.605032,-803.918360,1045.618199,-0.008134,-1.827198,-0.674513,-136.653854
0.548929,0.307914,0.640341,0.710526,1.122579,0.004159,0.003700,-0.032728,0.835232,-7.214610,7.748393,920.293890,-449.945277,1024.398163,-0.010745,-2.329212,-0.502015,-96.707719
0.553088,0.313417,0.632073,0.705512,1.110469,0.004159,0.010418,-0.029757,2.213727,-6.581326,7.389907,1016.179174,-12.477510,1016.255775,-0.012110,-2.541812,-0.212600,-38.516802
0.557247,0.319777,0.626422,0.703322,1.098799,0.004159,0.015525,-0.024110,3.217253,-5.393597,6.534947,933.030425,432.634905,1028.454537,-0.011670,-2.416632,0.125180,27.796329
0.561405,0.325896,0.623653,0.703670,1.089264,0.004159,0.017982,-0.016688,3.648461,-3.861528,5.396265,676.491663,806.309230,1052.509166,-0.009534,-1.985705,0.430928,89.341312
0.565564,0.330628,0.623286,0.705550,1.083079,0.004159,0.017211,-0.008787,3.420958,-2.271901,4.221150,290.300633,1036.279177,1076.173309,-0.006186,-1.318864,0.666840,133.655261
0.569722,0.333043,0.624546,0.707796,1.080899,0.004159,0.013266,-0.001875,2.578094,-0.944891,3.240667,-153.697292,1069.771800,1080.756476,-0.002180,-0.555202,0.763662,151.060861
0.573881,0.332449,0.626228,0.709002,1.082755,0.004159,0.006553,0.002575,1.269140,-0.140734,2.629866,-572.150574,894.732206,1062.027307,0.001855,0.167328,0.722530,136.950574
0.578039,0.329356,0.626919,0.708168,1.087070,0.004159,-0.001273,0.003633,-0.249188,-0.025321,2.488788,-882.552916,540.230848,1034.770032,0.004316,0.687487,0.520160,92.572320
0.582198,0.324320,0.625166,0.704284,1.092243,0.004159,-0.008723,0.000619,-1.671003,-0.632951,2.842774,-1021.772070,75.011613,1024.521793,0.005172,0.871097,0.183610,27.925554
